investment_amount,annual_turnover,years_in_business,number_of_employees,udyam_registered,gst_registered,gender,social_category,minority_status,disability_status,age,rural_urban,state,north_east_region,aspirational_district,exporter,startup_dpiit,green_business,women_owned,investment_turnover_ratio,turnover_per_employee,compliance_score,msme_category,mudra,standup_india,cgtmse,startup_seed,clcss,export_scheme,neids,aspirational_scheme
151179598,597067288,22,74,1,0,0,2,0,0,60,1,12,0,0,0,0,0,1,0.25320361839484395,7960897.173333333,1,2,0,1,1,0,0,0,0,0
320821458,1518355776,15,271,0,1,0,2,0,0,43,0,9,0,0,0,0,0,0,0.21129531224485867,5582190.352941177,1,2,0,1,0,0,0,0,0,0
32149003,1355834360,24,120,1,1,0,2,0,0,43,1,6,0,0,0,0,0,0,0.023711600712264292,11205242.6446281,2,2,0,1,1,0,0,0,0,0
61236438,205988510,6,35,0,1,0,3,1,0,63,0,14,0,0,0,0,0,1,0.29728084203686483,5721903.055555556,1,1,0,1,0,0,0,0,0,0
464948115,2109113803,1,207,1,1,0,1,0,0,57,1,20,0,1,0,0,0,1,0.22044714425471562,10139970.20673077,2,2,0,1,1,0,0,0,0,1
397017567,1377740228,5,270,0,1,0,2,0,0,62,0,9,0,0,0,0,0,0,0.2881657649556809,5083912.280442804,1,2,0,1,0,0,0,0,0,0
394218648,825941489,8,93,1,1,1,3,0,0,50,1,27,0,0,0,0,0,0,0.4772960951507594,8786611.585106382,2,2,0,1,1,0,0,0,0,0
199602978,29390953,6,177,1,1,1,2,0,0,36,0,20,0,0,0,0,1,0,6.791306536017851,165117.71348314607,2,2,0,1,1,0,0,0,0,0
472290436,1329361573,1,274,1,1,1,1,0,0,53,0,19,0,1,0,0,0,0,0.35527613046531464,4834042.083636364,2,2,0,1,1,0,0,0,0,1
462001618,2208165030,18,179,1,0,0,1,0,0,47,0,16,0,0,0,0,0,0,0.20922422532466958,12267583.5,1,2,0,1,1,0,0,0,0,0
237644070,1765918673,7,129,1,1,0,1,0,0,30,0,0,0,0,0,0,0,0,0.13457248824585452,13583989.792307692,2,2,0,1,1,0,0,0,0,0
195624628,1910226825,10,125,1,1,0,0,0,0,40,1,15,0,0,1,0,0,0,0.10240910939861338,15160530.357142856,2,2,0,0,1,0,0,1,0,0
324366824,2244306702,24,27,0,0,1,1,0,0,24,0,0,0,0,0,0,0,0,0.14452874180093736,80153810.78571428,0,2,0,1,0,0,0,0,0,0
279494470,2476441885,3,64,1,1,0,1,0,0,40,0,12,0,0,0,0,0,0,0.11286130782234718,38099105.92307692,2,2,0,1,1,0,0,0,0,0
57072561,1037869571,15,60,0,1,0,2,0,0,35,0,2,0,1,1,0,0,0,0.054990109103998285,17014255.262295082,1,2,0,1,0,0,0,1,0,1
317435939,1740125830,24,219,1,1,0,0,0,1,58,0,3,0,0,0,0,0,0,0.18242125560401498,7909662.863636363,2,2,0,0,1,0,0,0,0,0
288729336,11831400,17,217,0,1,0,2,0,0,35,0,19,0,0,1,0,0,0,24.403647209658434,54272.477064220184,1,2,0,1,0,0,0,1,0,0
389361627,1636111674,12,169,1,1,1,3,0,0,37,0,27,0,0,0,0,0,1,0.23797985977943711,9624186.317647059,2,2,0,1,1,0,0,0,0,0
271920813,380641078,4,149,1,1,0,3,0,0,40,0,13,1,0,0,0,1,0,0.7143758989817282,2537607.1866666665,2,2,0,1,1,0,0,0,1,0
250914705,2130687270,1,270,1,1,0,0,0,0,37,0,20,0,1,1,0,1,1,0.11776233350389223,7862314.649446495,2,2,0,1,1,0,0,1,0,1
44838553,33557473,10,116,1,1,1,1,0,0,32,1,27,0,0,0,0,0,1,1.3361718763456392,286816.00854700856,2,1,0,1,1,0,0,0,0,0
234664360,275484677,0,245,1,1,0,0,1,0,31,0,11,0,0,0,0,0,0,0.851823635723218,1119856.4105691058,2,2,0,0,1,0,0,0,0,0
68674553,2113719089,12,148,1,1,1,1,0,0,50,1,3,0,0,0,0,0,0,0.03248991473129005,14186034.154362416,2,2,0,1,1,0,0,0,0,0
419598548,1195350514,4,92,1,1,1,3,0,0,46,0,20,0,0,0,0,0,0,0.35102552994675373,12853231.333333334,2,2,0,1,1,0,0,0,0,0
454910497,906308797,17,85,1,0,0,3,0,0,45,1,4,0,1,0,0,0,0,0.5019376375953486,10538474.38372093,1,2,0,1,1,0,0,0,0,1
254503923,1698508513,13,87,1,1,0,0,0,0,37,0,13,0,0,1,0,0,0,0.14983965102455765,19301233.102272727,2,2,0,0,1,0,0,1,0,0
498425595,130568589,12,120,1,1,0,2,1,0,61,0,18,0,0,1,0,0,1,3.8173468442908054,1079079.2479338844,2,2,0,1,1,0,0,1,0,0
279927822,1792883364,6,24,0,1,0,3,0,0,21,0,11,0,0,0,0,0,0,0.15613275657783796,71715334.56,1,2,0,1,0,0,0,0,0,0
250339931,1977298225,7,89,1,1,1,0,0,0,46,1,5,0,0,1,0,0,0,0.126607068022525,21969980.277777776,2,2,0,0,1,0,0,1,0,0
472532043,1330217695,17,37,1,1,0,0,1,0,23,0,26,0,0,0,1,0,1,0.35522910604851854,35005728.815789476,2,2,0,1,1,0,0,0,0,0
357419431,934733058,6,271,1,0,0,3,0,0,63,0,3,0,0,0,0,0,0,0.3823759388400962,3436518.595588235,1,2,0,1,1,0,0,0,0,0
147797582,574772757,19,12,1,1,1,1,0,0,31,0,11,1,0,0,0,0,0,0.25714089601998846,44213289.0,2,2,0,1,1,0,0,0,1,0
207824578,511392626,16,95,0,1,0,2,0,0,48,0,0,0,0,0,0,0,1,0.406389468732016,5327006.520833333,1,2,0,1,0,0,0,0,0,0
147505005,312296322,15,31,0,1,1,2,0,0,48,1,5,0,0,0,0,0,0,0.4723238608224023,9759260.0625,1,2,0,1,0,0,0,0,0,0
69079792,296243004,10,233,0,1,1,1,0,0,50,1,23,0,0,0,0,0,0,0.23318623843962155,1265995.7435897435,1,1,0,1,0,0,0,0,0,0
37809731,855299723,18,286,1,0,0,3,0,0,55,0,16,0,0,1,0,0,1,0.04420641085112755,2980138.407665505,1,2,0,1,1,0,0,1,0,0
245927121,2077030812,0,35,1,1,1,3,1,0,27,0,2,0,0,0,0,0,1,0.11840321263447717,57695300.333333336,2,2,0,0,1,0,0,0,0,0
161256967,1494085615,20,21,1,1,0,1,0,0,53,1,4,1,0,1,0,0,1,0.10793020511884775,67912982.5,2,2,0,1,1,0,0,1,1,0
23127075,945479632,7,111,1,1,1,3,0,0,47,0,6,0,1,0,0,0,0,0.02446068026512423,8441782.42857143,2,2,0,1,1,0,0,0,0,1
265147041,1091056204,0,145,1,1,1,2,0,0,49,1,26,0,0,0,0,0,1,0.24301868206688765,7472987.698630137,2,2,0,0,1,0,0,0,0,0
215517853,2340102839,8,12,1,1,0,0,0,0,47,1,8,0,0,0,0,0,0,0.09209759900979395,180007910.69230768,2,2,0,0,1,0,0,0,0,0
86291493,539834691,18,244,1,1,0,2,0,1,62,1,9,1,0,1,0,0,1,0.15984799472650416,2203406.9020408164,2,2,0,1,1,0,0,1,1,0
356331733,384883145,20,146,1,1,0,2,0,0,51,1,15,0,0,1,1,0,0,0.9258179702158224,2618252.68707483,2,2,0,1,1,0,0,1,0,0
200719113,1244572198,8,239,1,0,0,2,0,0,25,1,7,0,0,0,0,1,0,0.1612755878375522,5185717.491666666,1,2,0,1,1,0,0,0,0,0
290870691,1025631056,20,92,1,1,0,3,0,0,54,0,17,0,0,0,0,0,1,0.2836016801702603,11028290.924731182,2,2,0,1,1,0,0,0,0,0
257172949,1164747123,24,115,0,0,0,1,0,0,57,1,24,0,0,0,0,1,1,0.22079723890350642,10040923.47413793,0,2,0,1,0,0,0,0,0,0
134589564,917359557,9,15,0,1,0,3,0,0,41,0,17,0,0,0,0,0,0,0.1467140804565531,57334972.3125,1,2,0,1,0,0,0,0,0,0
406337886,1766051460,23,272,1,1,0,1,0,0,46,0,13,0,0,0,0,0,0,0.23008269859243927,6469052.967032967,2,2,0,1,1,0,0,0,0,0
396460081,31947976,22,22,1,0,0,0,0,0,63,0,14,0,0,0,0,0,0,12.409551972570908,1389042.4347826086,1,2,0,0,1,0,0,0,0,0
108044665,934153242,10,118,0,1,0,0,0,0,25,0,9,0,1,1,0,0,0,0.11566053622317725,7850027.243697479,1,2,0,0,0,0,0,1,0,1
321166539,2186919948,0,95,1,1,0,2,0,0,53,0,21,0,0,0,0,0,0,0.14685793101245334,22780416.125,2,2,0,0,1,0,0,0,0,0
277120833,1575073810,19,257,1,1,1,1,0,0,62,0,19,0,0,1,0,0,0,0.1759414898937711,6104937.2480620155,2,2,0,1,1,0,0,1,0,0
86644585,598572628,24,262,1,1,0,2,0,0,22,1,25,0,0,0,0,0,0,0.14475199967755292,2275941.5513307983,2,2,0,1,1,0,0,0,0,0
85257821,1679177559,7,87,1,1,0,3,0,0,43,0,23,0,0,0,1,1,0,0.05077355905113453,19081563.170454547,2,2,0,1,1,0,0,0,0,0
221973123,1796981538,19,58,1,1,1,1,0,0,63,1,19,0,1,0,0,0,0,0.1235255444658188,30457314.20338983,2,2,0,1,1,0,0,0,0,1
420577197,1908864643,11,230,0,1,0,2,0,0,49,0,24,0,0,0,0,0,0,0.22032845457218286,8263483.303030303,1,2,0,1,0,0,0,0,0,0
439354878,1038117176,0,108,0,1,1,3,1,0,38,0,17,0,0,0,0,0,0,0.4232228189014928,9524010.788990825,1,2,0,0,0,0,0,0,0,0
201423311,1302790308,9,19,0,1,0,0,0,1,55,0,19,0,0,0,0,0,0,0.15460915667588068,65139515.4,1,2,0,0,0,0,0,0,0,0
328840110,292418023,3,141,1,0,0,2,0,0,30,0,22,0,0,0,0,0,0,1.1245548598604853,2059281.852112676,1,2,0,1,1,0,0,0,0,0
380172391,1361292917,14,160,1,1,0,1,0,0,59,0,17,0,0,1,0,0,0,0.27927302491116024,8455235.50931677,2,2,0,1,1,0,0,1,0,0
302654573,1540638818,18,100,1,1,1,1,0,0,53,0,16,0,0,0,0,1,0,0.19644745365850735,15253849.683168316,2,2,0,1,1,0,0,0,0,0
304969078,1146073886,5,265,1,0,1,3,1,0,52,1,1,0,0,1,0,0,1,0.2660989674917879,4308548.443609023,1,2,0,1,1,0,0,1,0,0
89582491,1150359927,4,238,1,0,1,2,1,0,62,1,13,0,0,0,1,1,0,0.07787344536222406,4813221.451882845,1,2,0,1,1,1,0,0,0,0
194349720,2173134763,4,238,1,1,0,0,0,0,57,0,1,0,0,0,0,0,0,0.08943288893978597,9092614.071129708,2,2,0,0,1,0,0,0,0,0
370206045,1856618264,17,49,0,1,0,2,0,0,43,1,5,0,0,0,0,0,0,0.19939804103995498,37132365.28,1,2,0,1,0,0,0,0,0,0
323641287,393135884,2,165,1,1,0,2,0,0,21,0,18,0,0,0,0,0,1,0.8232300823925041,2368288.4578313255,2,2,0,1,1,0,0,0,0,0
406119796,54301132,21,287,1,0,0,1,0,1,37,0,15,0,0,0,0,0,0,7.479029875859128,188545.59722222222,1,2,0,1,1,0,0,0,0,0
58843503,1544994778,1,59,1,1,1,3,0,0,56,1,6,1,0,0,0,0,0,0.038086538414121074,25749912.966666665,2,2,0,1,1,0,0,0,1,0
91793393,785597155,3,183,1,1,0,1,0,0,47,1,26,0,0,0,0,0,0,0.11684537335570497,4269549.755434782,2,2,0,1,1,0,0,0,0,0
170576398,1343812647,17,147,1,0,0,0,0,0,59,1,3,0,0,1,0,0,0,0.12693465733773923,9079815.182432432,1,2,0,0,1,0,0,1,0,0
338275028,998367792,8,96,1,1,0,2,0,0,21,0,25,1,0,0,0,0,1,0.3388280655403714,10292451.463917525,2,2,0,1,1,0,0,0,1,0
372693431,261787298,18,43,0,1,0,0,1,0,58,1,17,0,0,0,0,0,0,1.42364978142045,5949711.318181818,1,2,0,0,0,0,0,0,0,0
458602041,42409016,9,257,1,1,0,3,0,0,34,1,9,0,0,0,0,0,1,10.813786157788094,164376.03100775194,2,2,0,1,1,0,0,0,0,0
387743608,1757625843,21,213,1,1,0,3,0,0,24,0,1,0,0,0,0,0,0,0.22060645576169624,8213204.873831776,2,2,0,1,1,0,0,0,0,0
132962715,970173825,14,189,0,1,0,2,0,0,52,0,26,0,0,0,0,0,1,0.13705040420251452,5106178.02631579,1,2,0,1,0,0,0,0,0,0
459808603,1414873203,0,131,0,1,1,3,1,0,41,0,17,1,0,0,0,1,0,0.32498219748601587,10718736.386363637,1,2,0,0,0,0,0,0,1,0
183478299,756220571,10,289,1,1,0,0,0,0,63,0,3,0,1,0,0,0,0,0.24262537385719254,2607657.1413793103,2,2,0,0,1,0,0,0,0,1
111765644,1907955541,13,137,1,1,0,2,0,0,22,1,7,1,0,0,0,1,0,0.05857874648527843,13825764.789855072,2,2,0,1,1,0,0,0,1,0
68494024,1306276526,9,30,1,1,1,3,1,0,45,1,25,0,0,0,0,0,0,0.05243455163150153,42137952.451612905,2,2,0,1,1,0,0,0,0,0
198843196,588837290,18,146,1,1,1,0,0,0,58,1,10,0,0,0,0,0,1,0.3376878452489178,4005695.850340136,2,2,0,1,1,0,0,0,0,0
224284334,1262562850,23,105,1,1,0,2,0,0,34,0,11,0,0,1,0,0,0,0.17764211407167405,11910970.283018868,2,2,0,1,1,0,0,1,0,0
173045196,1917157113,20,287,1,1,0,3,0,0,33,1,2,0,0,0,1,0,0,0.09026135350949646,6656795.53125,2,2,0,1,1,0,0,0,0,0
320292576,226005324,15,191,1,1,1,1,1,0,64,0,5,0,1,0,0,0,0,1.4171903958457617,1177111.0625,2,2,0,1,1,0,0,0,0,1
67257848,967259240,7,178,1,0,0,2,0,0,39,0,3,0,1,0,0,0,0,0.06953445896310646,5403682.905027933,1,2,0,1,1,0,0,0,0,1
480650726,448660600,1,239,1,0,0,2,1,0,32,0,27,0,0,0,0,0,1,1.0713013911377522,1869419.1666666667,1,2,0,1,1,0,0,0,0,0
207982760,2443964204,22,1,1,1,0,1,0,0,51,1,17,0,0,1,0,0,0,0.08510057535805848,1221982102.0,2,2,0,1,1,0,0,1,0,0
95640567,2282885964,24,110,0,1,1,3,0,0,54,1,12,0,0,1,1,0,1,0.041894588019861956,20566540.216216218,1,2,0,1,0,0,0,1,0,0
85490464,1967137033,6,275,1,1,1,2,0,0,61,1,2,0,1,0,0,0,0,0.043459333296248646,7127308.09057971,2,2,0,1,1,0,0,0,0,1
316706443,671770272,18,234,1,1,1,0,1,0,43,0,3,0,0,0,0,0,0,0.4714505177278066,2858596.9021276594,2,2,0,0,1,0,0,0,0,0
186880295,1704397176,6,64,1,1,0,3,0,0,29,1,11,0,0,0,0,0,1,0.10964597778138657,26221495.015384614,2,2,0,1,1,0,0,0,0,0
23817335,1852234933,14,244,0,1,0,2,0,0,36,0,14,0,0,0,0,0,0,0.012858700893069324,7560142.58367347,1,2,0,1,0,0,0,0,0,0
60572382,2440895119,7,53,0,0,1,0,0,0,44,0,10,0,0,0,0,0,0,0.024815643041639576,45201761.46296296,0,2,0,0,0,0,0,0,0,0
281254698,2445316031,13,262,0,1,0,1,0,0,28,1,10,0,1,0,0,0,0,0.11501772953656406,9297779.58555133,1,2,0,1,0,0,0,0,0,1
317250706,1179880940,0,17,1,1,0,0,0,0,57,0,24,0,0,0,0,0,1,0.2688836601861848,65548941.11111111,2,2,0,0,1,0,0,0,0,0
351674608,9118562,12,234,1,1,0,3,0,0,51,0,10,0,0,0,0,0,1,38.56688910303082,38802.391489361704,2,2,0,1,1,0,0,0,0,0
370935847,2037882434,2,73,1,1,0,1,0,0,52,1,12,0,0,1,0,0,0,0.18202023857180946,27538951.81081081,2,2,0,1,1,0,0,1,0,0
446807362,1119935671,20,91,1,1,1,0,0,0,62,0,14,0,0,0,1,1,1,0.39895805908395066,12173213.81521739,2,2,0,1,1,0,0,0,0,0
172652610,1433759556,5,6,0,1,0,3,0,0,43,0,20,0,0,0,0,0,0,0.12041950071548851,204822793.7142857,1,2,0,1,0,0,0,0,0,0
91455424,2226194457,18,198,0,0,0,1,0,0,58,0,22,0,0,0,0,1,0,0.04108150735500573,11186906.819095477,0,2,0,1,0,0,0,0,0,0
455194650,2488332106,14,196,0,1,0,3,0,0,56,0,14,0,1,0,0,0,0,0.18293163067722293,12631127.441624366,1,2,0,1,0,0,0,0,0,1
318119332,748197300,3,296,1,1,0,2,0,0,52,1,16,0,0,0,1,0,1,0.42518107399588173,2519182.8282828284,2,2,0,1,1,1,0,0,0,0
220435593,2445346295,20,137,1,1,1,3,0,0,43,1,0,0,0,0,0,0,0,0.09014493912808168,17719900.688405797,2,2,0,1,1,0,0,0,0,0
465956742,2349036745,2,267,1,0,1,0,0,0,43,0,5,0,0,0,0,0,1,0.19836077183272807,8765062.481343284,1,2,0,1,1,0,0,0,0,0
112099993,2228205025,3,116,1,1,0,3,0,0,53,0,6,0,0,0,1,0,0,0.05030955037438283,19044487.393162392,2,2,0,1,1,1,0,0,0,0
497753800,1909861250,4,43,0,1,1,3,1,0,61,0,13,1,0,0,0,0,1,0.2606230163261216,43405937.5,1,2,0,1,0,0,0,0,1,0
171725499,219954183,17,231,0,1,0,1,0,0,46,1,0,0,0,0,0,0,0,0.7807330412046174,948078.375,1,2,0,1,0,0,0,0,0,0
485875494,116512606,24,58,1,1,0,3,0,0,60,0,19,0,0,0,0,0,1,4.1701538272163114,1974789.93220339,2,2,0,1,1,0,0,0,0,0
429762408,1000319882,9,206,1,1,0,3,1,0,23,1,5,0,0,0,0,0,0,0.42962497827307505,4832463.1980676325,2,2,0,1,1,0,0,0,0,0
319863211,1929792044,7,294,0,1,0,2,0,0,21,0,17,0,1,1,0,0,1,0.16575009303657898,6541667.945762712,1,2,0,1,0,0,0,1,0,1
347554369,2113331334,11,94,0,1,1,2,1,0,33,0,8,0,0,1,0,0,0,0.16445805882114553,22245592.989473686,1,2,0,1,0,0,0,1,0,0
409883328,1273421100,21,36,1,1,1,1,0,0,47,0,25,1,0,0,0,0,0,0.32187571548651445,34416786.48648649,2,2,0,1,1,0,0,0,1,0
273081039,1332650369,2,230,1,1,1,1,0,0,47,0,1,0,1,0,0,0,1,0.2049157417035047,5769049.216450216,2,2,0,1,1,0,0,0,0,1
262017078,780868712,17,227,0,1,1,0,0,0,64,1,25,1,0,0,0,0,1,0.33554562199497423,3424862.7719298247,1,2,0,1,0,0,0,0,1,0
188396765,535410430,22,183,1,1,0,1,0,0,42,0,20,0,0,1,0,0,1,0.35187354241142904,2909839.2934782607,2,2,0,1,1,0,0,1,0,0
323009911,2165434079,7,262,0,1,0,3,0,1,31,1,16,0,1,1,0,0,1,0.14916635605919715,8233589.653992396,1,2,0,1,0,0,0,1,0,1
175860164,1386657528,0,131,1,1,0,2,0,0,35,1,21,0,1,0,0,0,0,0.1268230693751925,10504981.272727273,2,2,0,0,1,0,0,0,0,1
449380098,226629665,13,65,0,0,1,1,0,0,50,0,10,0,0,0,0,0,0,1.9828829381939785,3433782.803030303,0,2,0,1,0,0,0,0,0,0
392221003,1108763889,21,186,0,0,1,0,0,0,38,1,18,0,1,0,0,0,0,0.35374619117511125,5929218.6577540105,0,2,0,0,0,0,0,0,0,1
54033927,1916487439,22,117,1,1,0,3,0,0,64,0,12,0,0,0,0,1,0,0.028194250519064188,16241418.974576272,2,2,0,1,1,0,0,0,0,0
106279285,1993002200,12,186,0,0,1,0,0,0,44,0,15,0,0,0,0,0,0,0.053326225604103085,10657765.775401069,0,2,0,0,0,0,0,0,0,0
52553338,2379523787,24,274,1,0,1,0,0,0,52,0,11,0,1,0,1,0,0,0.022085653551785378,8652813.770909091,1,2,0,0,1,0,0,0,0,1
263138498,572651526,11,151,1,1,0,0,0,0,42,0,21,0,0,0,0,0,0,0.45950894321111274,3767444.25,2,2,0,0,1,0,0,0,0,0
417634912,1279906662,2,151,1,0,0,0,0,0,25,0,27,0,0,1,0,0,0,0.3263010687209775,8420438.565789474,1,2,0,0,1,0,0,1,0,0
34145666,1954734956,17,36,1,1,0,3,0,0,25,0,8,1,0,0,0,0,0,0.017468182004789307,52830674.48648649,2,2,0,1,1,0,0,0,1,0
