credit_score,annual_revenue,monthly_expenses,existing_loans,monthly_emi,gst_months,collateral_value,loan_amount,years_in_business,debt_to_income,loan_to_income,profit_estimate,loan_approved
460,1295622,254267,4,45231,1,912222,1993622,9,0.4189277428138763,1.5387373786490195,-1755582,0
759,3884833,105443,1,82278,58,1028869,1774049,14,0.25415146545552925,0.4566602991685872,2619517,1
613,4354238,165508,0,47934,32,1119157,969054,11,0.1321030223887624,0.22255421040374918,2368142,1
321,1258335,298634,1,1562,39,2331770,1861449,2,0.014895874310100251,1.4792952592115771,-2325273,1
552,4676952,72136,0,69922,26,51794,1634170,17,0.1794040221067054,0.3494091878642329,3811320,1
774,2567803,180034,0,18561,18,2687762,429761,6,0.08674029900268829,0.167365253487125,407395,1
358,1269626,165995,1,52962,54,412846,1060796,10,0.5005757601057319,0.8355184912722329,-722314,0
810,2695188,206963,0,33246,47,497185,191545,17,0.14802381132596315,0.07106925379602462,211632,1
775,2173915,290072,1,82567,45,585898,1354806,16,0.45576942980751317,0.6232101991108208,-1306949,1
489,686383,185630,1,263,3,1517987,1317571,15,0.0045980159765029146,1.919585712350102,-1541177,1
543,3445881,118631,3,89022,18,478744,1979413,2,0.3100118663412927,0.574428716487888,2022309,0
804,4145747,23816,4,6646,24,1070176,526248,12,0.019237063911521857,0.12693683430272035,3859955,1
430,2528481,272536,0,97439,53,1096503,338420,7,0.4624389109508832,0.13384320467505983,-741951,1
784,2873361,279525,1,76684,53,575508,1494403,4,0.32025492097929914,0.5200888436921083,-480939,1
320,3784443,162645,0,91673,5,2623256,517346,6,0.2906837280942004,0.13670334049158622,1832703,1
466,3336938,235547,1,26012,46,1845354,1730214,18,0.09354204363401418,0.518503490325562,510374,1
573,2852880,85364,1,47578,12,2534320,1898166,18,0.20012618827290318,0.6653508033986708,1828512,1
687,4318308,291466,1,80759,50,1169313,158783,11,0.22441845278289552,0.03676972554991446,820716,1
615,2625595,139024,4,18389,21,1427329,737462,8,0.08404494981137609,0.28087423993418636,957307,1
313,4090549,284626,0,79889,3,545388,557999,16,0.2343616957039263,0.13641176282205641,675037,1
541,1209589,276703,4,52292,1,112165,1631916,9,0.518774558961763,1.3491491738102777,-2110847,0
645,1888367,260888,4,25483,2,2796302,1131433,17,0.1619367421692923,0.5991594854178239,-1242289,1
639,4696389,228343,4,32897,45,617802,253335,0,0.0840569211792294,0.05394250774371544,1956273,1
391,4352225,26732,4,41897,29,590551,1475802,14,0.11551884380977546,0.33909138429194263,4031441,1
666,4470358,191825,3,20102,3,2977923,1572769,10,0.053960778980117474,0.3518217109233757,2168458,1
754,2798924,262076,0,82734,47,2765138,1528175,3,0.354710595929007,0.5459866005650743,-345988,1
727,769503,255430,0,94074,42,745692,658003,5,1.4670352162369737,0.8551012796571293,-2295657,0
808,4187636,266328,1,71385,28,2829136,1357088,12,0.20455932655082726,0.324070191391993,991700,1
334,2456397,54422,0,93493,44,798471,759141,7,0.4567323604449932,0.3090465425580637,1803333,0
505,1651187,96964,4,65550,32,2465494,847317,6,0.47638456455870837,0.5131562930182954,487619,1
380,3823687,76284,2,13807,12,2296412,234418,4,0.04333095255966296,0.06130679629373429,2908279,1
687,2192719,148575,0,75765,46,77678,342715,4,0.41463589269760515,0.156296816874392,409819,1
301,455931,31311,2,69024,38,999050,426276,15,1.8166959474130955,0.9349572632701001,80199,0
689,1408572,220341,3,46062,31,684623,1162731,5,0.39241444526797353,0.8254679207026691,-1235520,1
405,1898875,224950,1,25282,27,2160689,1144893,15,0.15977039036271476,0.6029322625238628,-800525,1
776,4384094,199586,1,99006,36,260843,640624,14,0.2709960142277971,0.14612460408011324,1989062,1
701,964948,30300,1,72111,27,991563,1199538,5,0.8967654215563947,1.243111545907137,601348,0
461,1024026,85375,3,14272,26,341143,1764103,7,0.16724575352578938,1.7227130951753178,-474,0
501,4660112,141227,4,53283,24,908382,1467081,2,0.1372061444016796,0.3148166825175017,2965388,1
569,654377,99244,2,53994,29,2718691,1069368,8,0.9901448247722643,1.6341772403369923,-536551,0
570,852692,179162,0,88080,5,230780,451522,8,1.2395566042603894,0.5295253151196446,-1297252,0
755,4333411,134687,4,55809,29,1598397,832680,4,0.1545452300739533,0.19215347909533623,2717167,1
761,3154563,36328,1,79904,55,495031,1745279,18,0.3039558886603311,0.5532553954382905,2718627,1
551,2838681,157286,1,39260,8,665920,1340102,15,0.1659644038903984,0.47208615550673005,951249,1
595,3129795,208812,4,5499,5,2446425,956503,15,0.021083809003465084,0.30561202890285144,624051,1
637,3933488,176806,2,84475,28,2335587,971461,17,0.2577102052936224,0.24697189873211764,1811816,1
352,3288413,38610,4,29317,22,2803600,1523118,11,0.10698291242614598,0.46317722256906296,2825093,1
516,231346,179947,3,11178,5,557796,1693452,15,0.5798068693645017,7.319996887778479,-1928018,0
487,3951212,75082,1,3939,21,2295517,1544269,4,0.01196291163319002,0.3908342554132757,3050228,1
679,4760899,43226,2,96137,1,2655464,257092,2,0.24231641965099449,0.05400072549323143,4242187,1
792,2137916,161370,0,90596,30,2178840,1256599,6,0.508510156619811,0.5877681817246327,201476,1
340,3494742,119291,1,81242,52,631216,1981659,19,0.2789630822532822,0.5670401420190675,2063250,1
456,2084175,299888,4,69210,5,2125113,659677,13,0.3984886106013171,0.31651708709681287,-1514481,1
314,1022805,174506,2,27287,41,2963412,136349,15,0.32014313578834674,0.1333088907465255,-1071267,1
364,2277668,125850,1,99957,4,748521,1809598,0,0.5266281126134275,0.7944959493657548,767468,0
820,2102151,79633,0,58357,19,1828833,119485,4,0.33312735383899633,0.05683939926294543,1146555,1
643,3347744,68917,0,9154,11,2832763,218337,7,0.032812544806293434,0.06521914459409082,2520740,1
428,1163813,197817,4,57916,37,1481100,586150,1,0.5971681017483049,0.5036462043300771,-1209991,0
771,731562,283051,3,88601,37,106420,865088,6,1.4533450343238168,1.1825217821592702,-2665050,0
362,3322895,209674,4,91942,7,1067796,660495,5,0.33203095493538015,0.1987709512337886,806807,0
438,4410052,50172,2,12034,55,18688,1805318,9,0.03274519212018362,0.40936433402599337,3807988,1
798,1661967,251831,4,95013,57,1796254,833733,2,0.6860280619290274,0.501654364978366,-1360005,1
691,2950728,123512,2,29737,48,760636,1134963,5,0.12093422368988263,0.38463829942983563,1468584,1
718,2724497,191614,3,815,49,1260502,1973298,18,0.003589653429605538,0.724279747784637,425129,1
588,2292332,68196,4,65496,42,364290,729384,1,0.3428613307321976,0.31818427697209656,1473980,1
678,4121070,157023,0,95832,32,553162,1730037,18,0.2790498584105584,0.41980286673121303,2236794,1
789,4811010,297319,2,39735,57,1007004,163391,16,0.09911016605660766,0.03396189157785995,1243182,1
530,1092055,127809,2,50362,38,2598901,1343805,3,0.5534006986827587,1.2305286821634442,-441653,0
340,372507,163239,0,52286,39,2134703,165669,2,1.6843495558472728,0.44474063574644235,-1586361,0
327,4076105,225377,4,54607,30,290897,301404,13,0.16076229635890146,0.07394412067402581,1371581,1
434,4617327,147310,3,82474,2,2303421,210544,2,0.21434219408761823,0.04559867646367693,2849607,1
500,3690978,252949,1,87785,18,656408,1940804,10,0.2854040311267095,0.5258237789550628,655590,1
332,4062965,30485,4,29496,47,2816929,913646,9,0.0871166746452406,0.2248717377580166,3697145,1
347,3234454,271818,4,78996,54,438289,1256347,2,0.2930794501946851,0.3884263000803227,-27362,0
802,1565358,126255,2,77790,7,2709275,1685357,8,0.5963364291107849,1.0766591412315905,50298,1
706,3413037,28802,2,11957,29,2701059,1138483,15,0.04203997788479879,0.333568900659442,3067413,1
398,3506694,274290,3,64180,30,818038,1190043,17,0.2196256645147823,0.3393632292980226,215214,1
846,4326195,113153,3,7852,28,1989747,615869,4,0.021779878160831864,0.14235812301572168,2968359,1
761,701775,203557,3,66800,5,2663571,952497,14,1.1422464465106337,1.3572683552420648,-1740909,1
304,385639,235732,0,23203,55,404093,1970014,15,0.722012037164291,5.1084407956664135,-2443145,0
517,4260003,57669,1,47678,1,2231208,450140,17,0.1343041307717389,0.10566659225357353,3567975,1
802,2040087,124012,1,41853,22,1679284,1569624,5,0.2461836186397933,0.7693907171605917,551943,1
697,3729284,153154,3,48362,43,1974904,559157,3,0.15561807574858874,0.1499368243341081,1891436,1
692,2715962,144878,2,10364,29,1339837,361336,12,0.04579150960138618,0.13304162576648715,977426,1
506,3597477,177333,1,84224,52,2433310,1283831,0,0.2809435612791965,0.35686982849369153,1469481,1
314,4244070,237578,4,27739,37,2143075,530686,1,0.07843131710834175,0.12504176415563362,1393134,1
760,1821671,29795,0,62176,45,2585240,236624,14,0.40957560393726417,0.12989392705927688,1464131,1
540,4663588,212528,2,48834,38,2737476,1218481,3,0.12565603994177874,0.2612754385679009,2113252,1
395,1075247,249636,0,81102,8,1440528,983681,12,0.9051166848175349,0.9148418921419915,-1920385,0
784,2497040,40180,4,38304,6,595918,501468,13,0.18407714734245348,0.20082497677249864,2014880,1
706,4560356,279495,1,94495,46,1962131,1517297,14,0.24865164035439338,0.33271459508862905,1206416,1
530,3852461,217623,0,25814,43,1251116,1293037,7,0.08040782242831271,0.3356392186708704,1240985,1
470,3572325,259901,0,16057,58,1653102,1774947,8,0.053937981566626776,0.4968604480275451,453513,1
840,2913094,175561,0,80509,48,2664668,1246758,4,0.3316432631422124,0.4279841295886779,806362,1
335,329101,210470,4,18201,14,930097,333350,2,0.6636625230552323,1.0129109300792158,-2196539,0
824,1690496,142352,2,49918,14,2228402,383968,6,0.3543433406526842,0.2271333383811615,-17728,1
459,4935589,205542,2,49724,20,1407943,770579,7,0.12089499348507342,0.15612706001249294,2469085,1
542,856228,130551,4,53615,58,1238989,1767607,15,0.7514120070822258,2.064411581961814,-710384,1
385,4903019,100808,0,46480,13,1642912,241983,16,0.11375848227388065,0.049353877682301456,3693323,1
327,4753804,140823,0,38088,10,1813089,1768361,9,0.09614531857013878,0.3719886221644813,3063928,1
639,351633,140469,3,89668,10,1002099,1282758,0,3.0600540904863878,3.6480023206013086,-1333995,0
630,4279486,218707,1,43292,19,2803834,875042,18,0.12139401787971733,0.20447362136480876,1655002,1
805,1283088,93836,1,94853,12,543004,1795851,17,0.8871067300138417,1.3996319815944036,157056,0
647,3315216,211838,2,49902,44,3989,877954,17,0.18062895449346286,0.26482557999237455,773160,1
772,3554195,172472,4,84731,29,1865455,1359076,19,0.2860765939966715,0.3823864475640757,1484531,1
530,3141449,203305,0,23738,39,505558,1987494,4,0.09067662725067317,0.6326679185305889,701789,1
489,3186977,89833,1,85474,38,1902594,756381,10,0.32183727714382626,0.23733494154491858,2108981,1
524,796432,271673,4,67954,19,1287638,1191979,0,1.0238764891415715,1.496648803664343,-2463644,0
684,2994997,133398,4,68524,44,622923,1487798,10,0.2745538643277439,0.4967610985920854,1394221,1
676,4313853,66129,0,99158,42,2833348,725598,10,0.27583137394806917,0.1682018371975123,3520305,1
582,1365939,98346,4,35618,50,1478916,1996976,4,0.3129100201399916,1.4619803666195927,185787,1
558,512809,93524,1,68915,37,1936131,532461,19,1.6126472039297282,1.0383222603347446,-609479,0
658,1974348,76625,3,30765,7,4542,487298,17,0.1869883120908776,0.2468146446320507,1054848,1
755,4575979,170651,1,65729,50,2307287,101215,7,0.17236704976137346,0.022118764093978577,2528167,1
710,1087743,41483,3,46136,36,2495236,346080,14,0.5089731673750141,0.3181633896977503,589947,1
617,2464116,28947,4,91689,41,2629564,1624763,2,0.44651631660197816,0.6593695264346321,2116752,1
524,594969,160605,1,94540,32,858590,136153,15,1.9067884209093247,0.22884049421062275,-1332291,0
533,1055243,198648,0,25322,25,719714,1826481,19,0.28795642330723825,1.7308629386785792,-1328533,1
673,1978219,145468,4,54113,43,1436242,639116,11,0.3282528375270888,0.32307646423373754,232603,1
771,3259867,271362,0,11279,57,2169271,778699,1,0.04151948530415505,0.23887446941853763,3523,1
532,2413889,289156,3,22016,55,2372251,1357023,19,0.1094466232705812,0.5621729085305911,-1055983,1
412,2753188,35213,2,80615,38,2948918,1270980,19,0.3513672150249093,0.46163937951204204,2330632,1
796,462968,166284,2,24725,7,2415525,724130,12,0.640865027388502,1.564103782550846,-1532440,1
741,4110433,115660,3,73519,17,2818341,139181,18,0.2146314025797282,0.03386042297733596,2722513,1
567,842006,66576,2,22137,38,841932,539270,12,0.31548943831754167,0.6404586190597217,43094,1
809,4723065,292855,4,12057,13,748396,1384230,17,0.030633497527558905,0.2930787528861026,1208805,1
685,3710940,269486,4,21281,51,225364,1454239,15,0.06881598732396643,0.39187887705001967,477108,1
686,4319586,267647,1,21716,17,719237,1970224,9,0.06032800365590591,0.45611408130316194,1107822,1
412,4861322,291659,4,6534,56,1918089,1803877,6,0.01612894599452577,0.37106717061737526,1361414,1
380,1980655,171265,2,59672,20,1761690,563954,1,0.3615288881708324,0.28473106118935404,-74525,0
412,2776970,218739,0,38558,22,1245692,806254,3,0.16661901280892483,0.2903358696709003,152102,1
301,3555213,153496,1,26965,3,28531,191814,3,0.09101564378843124,0.053952885523314634,1713261,0
519,4666430,64344,0,82593,9,750185,588068,0,0.21239277134768977,0.12602096249166922,3894302,0
524,4337736,214164,2,36469,42,2839608,710382,15,0.10088857413175906,0.1637679194861098,1767768,1
684,2716966,291344,0,83280,10,354395,1936339,5,0.36782204856446493,0.7126842956444799,-779162,0
702,4540015,201541,2,11258,19,627471,340236,18,0.029756729878645777,0.0749416026158504,2121523,1
429,3939868,174103,4,63580,18,1197425,764601,4,0.19365115785605,0.1940676692721685,1850632,1
352,1258271,154288,1,77345,0,2894394,331590,5,0.7376312416005772,0.2635282860369507,-593185,0
715,1541814,282160,3,3067,30,2217371,1911116,6,0.02387058361125272,1.2395243524835031,-1844106,1
546,1532907,122974,2,92274,1,26552,879806,4,0.722345191195552,0.5739461037101403,57219,0
738,853009,120927,4,34212,40,1308864,641132,0,0.48128917748816247,0.7516122338685758,-598115,1
502,4913686,134817,0,12217,48,1407645,1065782,1,0.029835850316849714,0.2169007136394145,3295882,1
483,1817270,165522,4,21871,4,1752416,1059527,9,0.14442102714511326,0.5830322406686953,-168994,1
422,1208725,188151,0,5179,33,486279,604607,1,0.05141616165794535,0.500202279261205,-1049087,0
700,3342475,210039,0,68889,3,69394,824836,19,0.24732211908840007,0.24677402224399583,822007,1
593,1699666,72047,0,23165,26,2837539,1079715,13,0.16354977978026272,0.6352512787806546,835102,1
579,2093422,139786,0,87980,38,2151023,1610992,6,0.5043225876101426,0.7695495700341355,415990,1
497,3709312,112424,1,56364,52,1639140,703475,9,0.18234324855930156,0.18965107275958454,2360224,1
810,4288770,153018,0,5919,48,970555,184141,7,0.01656139172769815,0.04293562023610499,2452554,1
443,435994,274568,1,55012,2,2681121,1401066,0,1.514112579530911,3.2134983508947372,-2858822,0
500,4235729,35740,3,81092,25,2653878,1368265,7,0.22973707713595465,0.32302940060612945,3806849,1
423,3550301,134988,1,78547,40,2069989,807680,15,0.26548847548419136,0.2274962038429981,1930445,1
486,4076221,94712,0,47602,0,1082778,1288006,13,0.14013567959146475,0.31598041421208517,2939677,1
625,3406209,57269,3,46662,57,1621230,1351525,18,0.16438920806092638,0.39678275760530257,2718981,1
763,2010948,241344,4,83690,51,2016553,419078,9,0.4994062501864792,0.20839822809938396,-885180,1
648,2587036,140359,1,22294,52,1631218,696407,17,0.10341100780970965,0.2691910742641386,902728,1
702,3842461,175673,4,78272,15,2027607,985294,1,0.24444333982830274,0.25642264163513956,1734385,1
645,3992212,61132,3,42662,57,2949295,415045,4,0.12823567485895038,0.10396366726015552,3258628,1
810,3907193,156876,1,82114,34,482206,1952945,1,0.25219332651343307,0.4998332562532744,2024681,1
446,3411854,272697,0,79532,18,1485077,333985,19,0.27972592027677623,0.09788959316547542,139490,1
447,3664403,105061,1,62658,15,2831702,1041672,2,0.20518922181867005,0.2842678602762851,2403671,1
788,226119,72034,0,90686,32,1287464,1006341,8,4.812651745319942,4.450492882066523,-638289,0
637,842032,252460,2,92741,30,2800919,1710933,10,1.3216742356585023,2.031909713645087,-2187488,0
772,3504715,176408,1,55006,21,887207,1770864,15,0.18833828142944575,0.5052804578974325,1387819,1
450,3741652,134892,1,22298,43,607647,1262071,13,0.07151279702120882,0.337303148448867,2122948,1
714,4826269,65952,4,30556,19,1103666,1937469,13,0.07597421527892458,0.401442397843966,4034845,1
597,1293565,198215,4,37411,55,618528,1446026,19,0.3470502062130624,1.1178611047763352,-1085015,1
562,4154266,79379,3,90500,5,293465,1008503,10,0.2614180218599387,0.24276322219135704,3201718,1
443,2052139,185392,0,13746,34,2766417,1007011,10,0.08038052003299971,0.4907128610683779,-172565,1
645,4178713,147852,4,33428,59,2715001,1328494,17,0.0959951066273276,0.31791941681565594,2404489,1
301,1790745,56516,3,21999,38,2132814,113880,10,0.1474179740834122,0.06359364398616218,1112553,1
603,552935,210861,0,64712,2,2553189,1896637,13,1.4044037725953322,3.430126506732256,-1977397,0
553,2366458,271672,0,30361,31,11966,962458,18,0.15395667279960176,0.4067082534319223,-893606,1
752,3758670,254573,0,8488,12,754453,1314172,17,0.027098947233995002,0.34963750475567157,703794,1
336,3223744,81240,2,38381,47,485588,1823051,3,0.1428686645093407,0.5655073727938695,2248864,0
459,3773258,237687,0,23354,13,804562,861836,12,0.07427215419671807,0.22840632684009415,921014,1
308,4318273,86473,3,16714,40,707073,1210260,1,0.04644634556453471,0.28026481882919396,3280597,0
532,2575646,216398,0,6777,7,2294877,1008492,18,0.03157421477951551,0.3915491492231464,-21130,1
398,3951413,145811,0,12041,46,1854361,1501319,8,0.03656717230013669,0.3799448450465694,2201681,1
507,742057,214946,3,13142,18,2302992,1314364,10,0.21252275768573034,1.7712439879955313,-1837295,1
430,2923024,129806,1,91396,44,1980943,1983993,16,0.37521142488053466,0.6787467362566986,1365352,1
703,1557085,154123,0,9270,13,333466,1717955,4,0.07144118657619847,1.1033148479370105,-292391,1
451,512329,121209,3,56067,10,1363074,258818,8,1.3132264619024103,0.505179289089628,-942179,0
353,1906722,97774,4,3866,49,573737,296976,15,0.024330762428922518,0.15575212327754123,733434,1
419,2004473,115204,3,13029,34,1745893,521807,11,0.07799955399748462,0.26032129143171295,622025,1
719,3740564,219302,2,38881,35,2767210,1492530,0,0.12473306164524922,0.39901202064715374,1108940,1
721,4954895,220203,4,99889,2,395879,1968734,16,0.24191592354631128,0.39733112407023763,2312459,1
403,3365317,152339,1,2940,24,486669,321441,13,0.010483410626695791,0.09551581619205561,1537249,1
553,2477546,213717,1,14105,12,1329419,1472660,6,0.06831760136845087,0.5944026871751321,-87058,1
526,4812044,39650,3,94598,15,2989847,1259821,15,0.23590307985546266,0.2618057939619837,4336244,1
411,2044753,289161,3,94580,27,2711067,1892719,14,0.5550597064779952,0.9256467651594105,-1425179,1
809,815995,267860,0,64556,44,134630,1672464,3,0.949358758325725,2.049600794122513,-2398325,0
772,4354967,240121,0,22789,26,697233,453891,14,0.0627945056759328,0.10422375186769497,1473515,1
398,4382042,87762,2,13218,9,733400,1712903,16,0.03619682330748998,0.3908915067450289,3328898,1
452,1564981,155460,0,17886,17,840325,747144,1,0.13714671296328837,0.4774141027910243,-300539,0
637,858197,87958,3,17129,7,845085,1796222,7,0.2395114408463325,2.093018269697983,-197299,0
462,2121097,191066,3,35380,6,1821394,464783,5,0.2001605772861873,0.21912387788017237,-171695,1
460,2926465,97568,0,1508,48,1054393,1740815,6,0.006183569596766064,0.5948524926831519,1755649,1
697,4050919,153915,2,67306,21,2102215,1734032,15,0.1993799431684514,0.42805891700130266,2203939,1
576,420421,48015,3,77507,37,903860,271298,4,2.212268178801725,0.6453007818353508,-155759,0
803,3252911,246709,2,34729,46,1258255,1213045,17,0.12811540186620538,0.372910602226744,292403,1
691,1493073,66546,3,9787,8,2073497,671540,19,0.07865924840915348,0.4497703729154569,694521,1
434,1933456,244478,2,40519,59,243136,1702267,10,0.25148128532534486,0.8804270694549036,-1000280,1
494,3768485,123283,2,3658,41,1615544,1980464,1,0.011648182227075336,0.5255332049882114,2289089,1
700,4290582,271123,2,23361,58,237470,251025,6,0.06533659070028262,0.058506048829739185,1037106,1
332,2341549,186241,0,88529,39,519164,1276145,14,0.4536945415193105,0.5450003395188399,106657,0
759,3160669,192781,1,66001,38,1087514,1501119,8,0.25058365807998245,0.4749371098333929,847297,1
769,1704137,298107,2,83989,28,248943,568630,1,0.5914242810290488,0.3336762243880627,-1873147,0
674,477132,180770,2,25808,54,730603,841509,3,0.6490782424989311,1.7636817484469707,-1692108,0
321,2205187,82415,3,13874,36,171824,1678780,14,0.07549835909607666,0.7612869112687496,1216207,0
337,4552806,76400,1,22947,49,1125913,1318366,7,0.060482260829914564,0.2895721891071133,3636006,1
529,3771479,75450,3,40284,47,1872518,863333,3,0.1281746497859328,0.22891099221286929,2866079,1
664,4593852,223679,3,59151,46,2215692,628608,7,0.1545134671295462,0.13683679839925186,1909704,1
737,4219489,138639,2,19432,41,1419952,1019535,6,0.05526356390548713,0.2416252299745301,2555821,1
582,3926248,48842,4,69578,28,1628681,1888752,12,0.21265493162938257,0.4810577426591494,3340144,1
326,2341572,298675,1,86059,27,582765,1608227,4,0.44103192214461057,0.6868150968665495,-1242528,0
525,1445817,254494,3,4202,20,832944,1443215,19,0.034875783034782414,0.9982003254907087,-1608111,1
576,1189862,158369,4,38892,32,1765999,1661401,17,0.39223372122145256,1.3962972176605355,-710566,1
583,4063545,24163,4,45205,58,1279588,1646142,18,0.13349427654917073,0.40509998043580175,3773589,1
780,2323120,60794,3,7773,25,755473,870458,10,0.040151176004683355,0.374693515616929,1593592,1
752,3408236,61787,2,17671,37,2367754,1304597,5,0.06221752249550794,0.38277777712576244,2666792,1
815,960151,121243,0,8301,14,2183945,1064692,3,0.10374618159018738,1.1088797491227942,-494765,1
846,4769883,44448,3,94957,1,449748,1824499,2,0.23889139419142985,0.3825039314381506,4236507,1
491,1333942,220224,2,80110,11,1170740,1067137,19,0.720661018245171,0.7999875556808317,-1308746,0
348,3875754,248356,1,32629,32,712757,599030,5,0.1010249876540152,0.15455831304050774,895482,1
811,1344000,48299,2,53971,14,363269,1869743,14,0.4818839285714286,1.3911778273809523,764412,1
316,3026145,97093,4,51942,44,364393,1388197,2,0.20597294577754865,0.4587344624927094,1861029,0
471,3948688,189720,1,28999,0,2986378,1938543,16,0.08812749956441228,0.490933444222486,1672048,1
519,1912189,145113,1,99165,32,741887,1824934,1,0.6223129617417525,0.9543690503396892,170833,0
457,4969561,266935,0,95644,3,811808,1785517,15,0.23095158707177554,0.3592906898617403,1766341,1
776,4511590,222898,0,74188,27,1749087,1970850,16,0.1973264414541215,0.4368415569677209,1836814,1
345,3420756,259060,3,83024,52,2197482,863616,10,0.29124789958710884,0.2524634905266555,312036,1
672,1135026,131027,2,82663,13,2744493,1599952,3,0.8739500240523125,1.409617048420036,-437298,0
817,4432879,148840,3,18794,52,1732951,1877651,11,0.05087619129689757,0.42357370909515013,2646799,1
398,1697060,82740,0,93904,58,153804,1443267,7,0.6640000942806972,0.8504513688378725,704180,0
336,805599,52827,4,46536,48,2586849,1427900,2,0.6931885466590698,1.7724699261046748,171675,0
579,1127906,46209,0,70529,44,1842482,697990,10,0.7503710415584277,0.6188370307454699,573398,1
648,1196114,117654,2,74170,11,165654,1560710,12,0.7441096751647418,1.3048170993734711,-215734,0
796,4970773,93396,4,1833,58,59057,1526599,8,0.004425066282447418,0.30711501007992115,3850021,1
601,3241658,230033,3,33653,5,862509,657992,14,0.12457699115699435,0.2029800799467433,481262,1
480,1854083,241519,3,15319,50,1174732,946229,11,0.0991476649103627,0.5103487815809756,-1044145,1
398,3227116,185432,0,3604,19,2699483,1276014,9,0.013401439551599633,0.3954038218644759,1001932,1
415,361554,270140,0,5357,47,662507,929571,3,0.17779916692942133,2.5710433296271096,-2880126,0
490,379300,100000,3,16257,20,2961835,1292441,6,0.514326390719747,3.407437384655945,-820700,0
552,3953281,58865,3,28932,15,1314956,1154673,8,0.08782173592011294,0.29207966749644154,3246901,1
460,1298702,157530,1,62736,11,2615750,307480,5,0.5796803269726234,0.23675947214988505,-591658,1
555,3400842,291295,2,61719,51,850064,1556363,6,0.21777783266614562,0.4576404902080132,-94698,1
622,4600726,205941,1,65415,19,1423885,460470,16,0.1706208976583261,0.1000863776716979,2129434,1
427,913161,253542,1,64413,57,2767737,473349,3,0.8464619054033188,0.5183631364020146,-2129343,0
317,321284,144001,3,56241,44,2412832,201507,1,2.1006088071612656,0.6271927640343123,-1406728,0
622,3660354,63183,2,85141,32,2814583,542819,16,0.27912382244995976,0.14829685871912934,2902158,1
587,1443045,195848,3,1596,49,2956981,231345,6,0.013271935386630355,0.1603172458239348,-907131,1
454,4264972,110254,1,59015,1,2786488,1504447,10,0.16604563875214187,0.3527448714786404,2941924,1
789,1390866,162242,1,30733,33,2110680,1093940,19,0.2651556656068953,0.7865171770681,-556038,1
685,1582311,234038,3,9757,25,111646,124741,17,0.07399556724310202,0.07883469178941434,-1226145,1
403,812529,67284,0,9142,32,2634006,1597497,6,0.13501548867794258,1.966079979914563,5121,1
692,3118306,160332,0,76642,41,2624435,305096,17,0.29493705877486043,0.09784030175358031,1194322,1
545,4698448,122491,3,84412,29,1252826,927056,18,0.21559119096348411,0.1973111120948875,3228556,1
475,361686,56108,4,25917,55,1937632,288244,13,0.859872928451751,0.7969454167426995,-311610,1
338,741889,255553,4,97054,0,2099058,945802,7,1.56984131049254,1.274856481225628,-2324747,0
776,1866196,270533,0,58075,45,1099438,1293052,6,0.3734334442898817,0.6928811336001149,-1380200,1
